"CODI","NOM","CARRER","NUMERO_CARRER","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
"03-200","","C PEDRERA DEL MUSSOL","1-11","428607.651548815","4579138.521914616","41.360588962","2.146452474"
"03-201","Jardins Arboreda","JARD ARBOREDA","43","427882.438492096","4578882.417027674","41.358217684","2.137813405"
"03-202","Ptge. Vapor Vell","C MIRACLE","45","427677.924200881","4580994.601850886","41.377223017","2.135116736"
"03-203","Premià","PL OSCA","7-11","427966.123544573","4580849.549435810","41.375942435","2.138580110"
"03-204","Jardins d'Elies Ortiz","C SANT ELOI","1-7","428288.457431219","4578660.233597334","41.356252813","2.142693219"
"03-205","Pça Vidriera","C GAYARRE","78-76","428170.301005946","4580473.607303713","41.372574711","2.141066057"
"03-206","Pça Farga","PL FARGA","3","427944.740506580","4580453.608987752","41.372374431","2.138371491"
"03-207","camp de futbol","C FERRERIA","26","428013.610834550","4580482.838509249","41.372643853","2.139191474"
"03-208","","CTRA PRAT","42-50","427498.979191786","4579052.490205932","41.359715038","2.133209214"
"03-211","jardins de Fabià Puigserver","JARD FABIÀ PUIGSERVER","42","429403.971227915","4580252.807585130","41.370695198","2.155842350"
"03-213","","CAMI MAR","SN","430220.105811668","4579374.370028227","41.362854539","2.165701425"
"03-214","jardins de la Mediterrània","C ALTS FORNS","69-71","428173.029657113","4578977.144966741","41.359096840","2.141275918"
"03-218","Quetzal","C QUETZAL","17-21","427469.625668932","4579912.521763230","41.367458385","2.132755470"
"03-220","Canalejas","C CANALEJAS","45-47","427365.330560387","4580578.473586035","41.373446956","2.131428774"
"03-221","Pça Jose Sanchez Rios","C COURE","4","427582.778009795","4578879.589300334","41.358165322","2.134231605"
"03-222","Jardins de Can Ferrero","PG ZONA FRANCA","118-106","428214.698361123","4578797.804371556","41.357485296","2.141795252"
"03-223","","RDA MIG","88-82","427465.887267054","4580123.952118906","41.369362322","2.132685484"
"03-224","","RBLA BADAL","62-58","427526.996249977","4579977.461427640","41.368048439","2.133433612"
"03-225","Jardins Valen Petit","RDA MIG","252-270","427725.522999685","4579508.639192278","41.363843777","2.135863028"
"03-227","Pça Sardana (antic parc d'atraccions)","CTRA MONTJUÏC","33-37","430469.581237532","4580038.129160757","41.368854412","2.168607787"
"03-228","Pça Sardana (antic parc d'atraccions)","CTRA MONTJUÏC","33-37","430443.081526812","4580081.639428648","41.369244007","2.168285965"
"03-229","Pça Dante (antic parc d'atraccions)","C TARONGERS","SN","430247.030185100","4579944.970704255","41.367996106","2.165957676"
"03-230","Pça Dante (antic parc d'atraccions)","PL DANTE","SN","430204.270436489","4579986.801092954","41.368369154","2.165441632"
"03-231","Salou","C SALOU","2","427924.533035947","4580790.989661813","41.375411285","2.138089766"
"03-232","Jardins Celestina Vigneaux","JARD CELESTINA VIGNEAUX","33-41","428146.209748198","4580312.767238623","41.371123932","2.140797069"
"03-233","Pça Sant Cristòfol","PL SANT CRISTOFOL","21-22","427806.679113930","4578979.787754667","41.359087880","2.136896191"
"03-234","","PL MARINA DE SANTS","36-30","428047.300644350","4579132.806163794","41.360487602","2.139754470"
"03-235","jardins Elisard Sala","JARD ELISARD SALA","53","427975.448807582","4581540.910428623","41.382170098","2.138609453"
"03-236","Pça Armada","CTRA MIRAMAR","38","430775.822459943","4580136.616991235","41.369767859","2.172257977"
"03-237","centre plaça","CTRA MIRAMAR","40","430758.673183265","4580235.377273335","41.370655890","2.172041659"
"03-238","Sant Roc","C TORRE D'EN DAMIANS","4-2","428499.063765337","4580770.415261628","41.375277230","2.144961948"
"03-239","Pg de Montjuïc","PG MONTJUIC","76-74","430345.393625017","4580377.900625058","41.371903896","2.167083963"
"03-241","Turia","C TÚRIA","4-2","428118.004341176","4579605.856359884","41.364754517","2.140543631"
"03-243","jardins Can Mantega","JARD CAN MANTEGA","62-60","427500.165481367","4581199.463518308","41.379052131","2.132966688"
"03-244","Comtes de Bell-lloc","C COMTES DE BELL-LLOC","116-112","427835.077756702","4581431.051327427","41.381168061","2.136943925"
"03-245","Llobet","C CREU COBERTA","112","428226.333420866","4580780.397350680","41.375342857","2.141699693"
"03-246","Gran Via de les Corts Catalanes","C RADI","221-239","427662.722163000","4579411.069518274","41.362959362","2.135123879"
"03-247","Manzanares","C SAGUNT","51","427631.359032906","4580323.071168755","41.371170608","2.134640102"
"03-248","","PG MIRAMAR","19","430325.192661087","4580255.090589252","41.370796034","2.166856542"
"03-249","","PG MONTJUIC","77-83","430452.573343584","4580318.959722032","41.371382301","2.168372228"
"03-250","hotel Miramar","CTRA MIRAMAR","15","430631.383226449","4580267.038286855","41.370930091","2.170516110"
"03-251","jardins dels Drets Humans","JARD DRETS HUMANS","14-8","427754.970966054","4579234.518543214","41.361377513","2.136247728"
"03-252","jardins dels Drets Humans","JARD DRETS HUMANS","13-17","427777.970682932","4579192.518303225","41.361001295","2.136527680"
"03-253","jardins dels Drets Humans","C JANE ADDAMS","7-11","427800.540373972","4579147.198061342","41.360595136","2.136802884"
"03-254","","C TARONGERS","53-69","430336.988869445","4579753.299726862","41.366277572","2.167055229"
"03-255","","PG MIGDIA","SN","430324.378537036","4579712.089758906","41.365905314","2.166909201"
"03-256","entre Alumini i Energia","C BRONZE","5-7","427645.997833109","4578843.458763750","41.357845590","2.134991642"
"03-257","Pça. Llorca","PL LLORCA","4-5","428179.814100736","4579561.625821606","41.364361665","2.141287817"
"03-258","jardins de Joan Maragall (Palauet Albeniz)","PG PAVELLO ALBENIZ","23","429459.988794403","4579920.906647614","41.367710783","2.156550726"
"03-259","jardins de Joan Maragall (Palauet Albeniz)","PARC MONTJUIC","33-45","429366.008256857","4579869.097281901","41.367235912","2.155433149"
"03-260","Av. Castell","AV CASTELL","199","430098.967120193","4579571.241252355","41.364617192","2.164230531"
"03-261","dins del Parc de l'Espanya Industrial","C MUNTADAS","28-20","428204.484721778","4580956.207787578","41.376924369","2.141417621"
"03-262","dins del Parc de l'Espanya Industrial","PARC ESPANYA INDUSTRIAL","3","428124.704910994","4580997.338457559","41.377287696","2.140458782"
"03-264","Jardins Mossen Cinto Verdaguer","JARD MOSSEN CINTO VERDAGUER","SN","430119.389923843","4579936.421660365","41.367908037","2.164432611"
"03-265","Jardins Mossen Cinto Verdaguer","C DOCTOR FONT I QUER","20-30","430056.609474548","4579889.922065781","41.367483776","2.163687381"
"03-266","","PL BUENAVENTURA DURRUTI","1","428089.753317413","4579476.626374394","41.363588065","2.140221207"
"03-267","Mirador del Poblesec","MDOR POBLE SEC","30","430741.664409478","4580400.327656167","41.372140087","2.171819453"
"03-270","aparcament Jardí Botànic","CAMI MOLI","182-176","429734.782704662","4579062.973233722","41.360007670","2.159935498"
"03-271","darrera Castell (Guardia Urbana)","C CARTOIXA","SN","430001.895000175","4579311.531588788","41.362269629","2.163099983"
"03-272","Jardins Teatre Grec","JARD TEATRE GREC","29","429632.530426082","4580100.955613940","41.369347530","2.158592705"
"03-273","al costat dels jocs infantils (Motors 119)","C ULLDECONA","98.I","428346.653741791","4578161.842379666","41.351769146","2.143447727"
"03-274","a uns 40 cm de la calçada","C MOTORS","119-129","428307.242652102","4578026.072467475","41.350542803","2.142992691"
"03-275","","C VIDRIOL","24-22","428627.243383590","4580694.124169577","41.374601481","2.146503592"
"03-277","","JARD TRES XEMENEIES","40","430794.106520390","4580667.587669765","41.374551732","2.172415975"
"03-278","","JARD CA L'ALENA","168","428334.730264982","4579024.533811606","41.359538064","2.143203316"
"03-279","Font del Gat","PG SANTA MADRONA","23","429558.198919423","4579917.515896000","41.367688844","2.157725300"
"03-280","","PG SANTA MADRONA","75","429621.060090305","4580059.045636516","41.368969057","2.158460428"
"03-281","","C MELCIOR DE PALAU","97","427725.586739379","4581319.321988347","41.380151930","2.135647936"
"03-282","Cobriment de Sants","C ANTONI DE CAPMANY","50-70","427600.941516694","4580656.581915064","41.374171678","2.134236591"
"03-283","Cobriment de Sants","C RIERA DE TENA","65-67","427534.010590314","4580548.112256548","41.373188709","2.133449271"
"03-284","Cobriment de Sants","C ANTONI DE CAPMANY","2","427422.599226862","4580391.072861069","41.371764276","2.132135956"
"03-285","Cobriment de Sants","C ANTONI DE CAPMANY","19","427336.938215843","4580275.233333279","41.370713224","2.131125637"
"03-286","","C GUITARD","1-7","428018.587132866","4581311.569748035","41.380108374","2.139152559"
"03-287","","C MIQUEL BLEACH","13-19","428292.893959175","4580837.796932997","41.375865768","2.142488776"
"03-288","","C FOC","82-68","428129.277232393","4578666.254816099","41.356292854","2.140789722"
"03-289","","C MARGARIT","7-11","429920.900638724","4580070.673375654","41.369099945","2.162043989"
"03-290","Recinte Magòria","C CORRAL","34-32","428026.597622323","4580056.887752592","41.368808630","2.139397316"
"03-291","","C PRIORAT","8","428045.812319587","4580671.968556156","41.374350158","2.139554048"
"03-292","Jardins de la Mediterrània","JARD MEDITERRANIA","71.I","428164.440062235","4579032.305117651","41.359592883","2.141166705"
"03-293","","Pl. Falset","","428217.794235383","4578253.033500563","41.352579000","2.141896705"
"03-294","Camp de futbol","Acer","18","427937.291819686","4577991.145223145","41.350195211","2.138574965"
"03-295","","Rambla Badal","113","427411.758501662","4580297.692799146","41.370922259","2.132017520"
"03-296","Zona Verda de la Marina del Prat Vermell","Arnes","","428141.023809014","4578212.334020357","41.352205588","2.140983890"
"03-297","ESPAIS DE CESSIÓ SECTOR 3, MARINA ZONA FRANCA","Ferro","","427945.844538349","4578348.075714546","41.353410730","2.138634814"
"03-298","Font de les Palmeres","Av. Miramar","","429830.619457454","4579933.323850075","41.367855015","2.160980475"
"03-299","Zona Verda de la Marina del Prat Vermell","Cal Cisó","","428070.732378454","4578037.844282349","41.350627741","2.140164383"
"03-300","Can Clos","Ferrocarrils Catalans","59","428439.591164296","4579121.863165816","41.360424003","2.144445369"
"04-001","","AV SANT RAMON NONAT","33","426115.252124322","4581039.343804953","41.377484027","2.116425751"
"04-004","Av. Madrid","C LLUÇA","1","427390.836754235","4581389.404642237","41.380752998","2.131636601"
"04-006","Jardins de les Infantes","JARD INFANTES","13-29","427631.410722592","4581863.113540378","41.385041183","2.134456834"
"04-007","Entrada Parc Cervantes","C MANUEL BALLBE","3-5","425442.146964176","4581814.840122579","41.384406487","2.108281729"
"04-009","Pça Sol de Baix","PL SOL DE BAIX","24-20","427242.017673995","4581540.876007272","41.382103796","2.129838821"
"04-010","Jardins Can Feu","JARD CAN FEU","11-13","427273.924908052","4582487.097217117","41.390628910","2.130106791"
"04-011","Jardins Can Feu","C JOSEP IRLA I BOSCH","2","427153.114679314","4582481.618128007","41.390568629","2.128662572"
"04-012","Doctor Salvador Cardenal","C SABINO DE ARANA","27","426769.170225248","4581973.350269430","41.385956012","2.124132086"
"04-013","","AV DIAGONAL","682","426667.501293502","4582134.811291061","41.387400961","2.122896680"
"04-015","cementiri","AV JOAN XXIII","3-15","426609.277477593","4581644.000979325","41.382975131","2.122259818"
"04-016","Parc de Cervantes","PG DON QUIXOT","673-685","425366.686519988","4581771.740630331","41.384011313","2.107384629"
"04-017","Dulcet","C DULCET","1-7","425952.712568266","4582448.787212670","41.390163321","2.114309948"
"04-018","Pça Pedralbes","PL PEDRALBES","18","425957.237232313","4583062.158119050","41.395688089","2.114289073"
"04-019","","PTGE PINTOR TAPIRO","45.I","426293.662830427","4581096.002535382","41.378010689","2.118552200"
"04-020","Aristides Maillol","C ARISTIDES MAILLOL","9-21","426377.593825246","4581209.992072892","41.379045029","2.119541963"
"04-021","Av. Exèrcit","C ALFAMBRA","20","425791.099621312","4582093.597896534","41.386949397","2.112420607"
"04-022","Alfambra / Joan Obiols","C TRIAS I GIRO","17","425859.029232975","4582028.537279499","41.386369689","2.113240951"
"04-023","Adolf Florensa","C ADOLF FLORENSA","15-23","425931.257858171","4581832.616428278","41.384611771","2.114128691"
"04-024","Gerard Piera","PL SOL DE BAIX","18-14","427213.477446689","4581516.746187245","41.381883887","2.129500426"
"04-026","Evarist Arnus","C GUITARD","74","427814.380054826","4581737.931956357","41.383930160","2.136659860"
"04-028","GV Carles III","C ANTONI ALBERDI","6-2","427208.385655736","4582598.907887094","41.391630013","2.129309511"
"04-029","Nicaragua / Numància","PL CORTS","98","427846.341781096","4581958.752052112","41.385921868","2.137015783"
"04-033","Bertran i Rozpide","AV PEDRALBES","20-16","426468.932350348","4582314.563078069","41.389001780","2.120500118"
"04-034","Nicaragua / Numància","C BATISTA I ROCA","3","427800.132299227","4582036.382522704","41.386616909","2.136453910"
"04-035","Travessera de les Corts","C VALLESPIR","203","427519.840872727","4581905.604454352","41.385413837","2.133117499"
"04-037","Sarrasastre","AV DIAGONAL","660-656","427262.063750268","4582337.067077453","41.389276578","2.129982949"
"04-038","Av. Diagonal / Entença (muntanya)","AV DIAGONAL","642-634","427800.455933693","4582514.823253171","41.390926064","2.136400755"
"04-039","entre Doctor Ferran i Capità Arenas","AV DIAGONAL","670","426928.642422055","4582230.159450445","41.388283486","2.126008244"
"04-041","entre Alfambra i Tinent Coronel Valenzuela","AV DIAGONAL","692-688","425971.168574188","4581918.806257308","41.385391718","2.114595442"
"04-045","Jardí Bacardí","JARD BACARDI","120-118","426889.695472511","4581322.628351233","41.380106191","2.125651965"
"04-046","Jardí Bacardí","JARD BACARDI","112-110","426844.905153917","4581289.778641309","41.379806256","2.125120330"
"04-048","Rda de Dalt","PL ALCALDE BARÓ DE VIVER","1-23","425118.896380620","4581804.102565787","41.384279756","2.104417403"
"04-049","Rda de Dalt","PL ALCALDE BARÓ DE VIVER","697-701","425089.175193233","4581653.672559829","41.382922136","2.104080576"
"04-051","Joan Obiols","C TRIAS I GIRO","17","425909.709437156","4582045.076919301","41.386523324","2.113845017"
"04-054","Aviació","PL CAN ROSES","68-66","427686.253068372","4582160.843579894","41.387727651","2.135077150"
"04-055","","PL CONCORDIA","1","427433.751809033","4582046.445325450","41.386674573","2.132071094"
"04-056","","PL COMAS","8-7","427251.480267199","4581880.526457399","41.385163746","2.129911198"
"04-057","Pça Carme","PL CARME","7-11","428109.644263411","4582232.000467831","41.388406484","2.140132211"
"04-058","Alts Estudis Empresarials","AV DIAGONAL","696-694","425747.617617267","4581838.417834527","41.384647093","2.111931872"
"04-059","Lateral Ronda de Dalt","PARC CERVANTES","29-33","425115.076863275","4581868.502694176","41.384859423","2.104363768"
"04-061","Rda de Dalt","PL ALCALDE BARÓ DE VIVER","1-23","425053.175650203","4581721.282938112","41.383527719","2.103641716"
"04-062","Josep Irla","C JOSEP IRLA I BOSCH","2","427176.015098244","4582532.108031105","41.391025445","2.128930388"
"04-063","Mejía","TVRA DE LES CORTS","173-177","427065.787541030","4581559.267376117","41.382253484","2.127729188"
"04-064","Josep Tarradellas","C MARQUES DE SENTMENAT","96","428245.841791497","4581878.858890631","41.385238033","2.141802896"
"04-065","Jardins Joan Altisent","JARD JOAN ALTISENT","10-14","428242.303775618","4582140.799318952","41.387596916","2.141729560"
"04-066","Jardins Rubió i Tuduri","C SOR EULALIA D'ANZIZU","36-32","425971.333895512","4582619.807333514","41.391705336","2.114511752"
"04-067","","C AGUSTINA SARAGOSSA","3-21","427646.496234256","4582585.754533195","41.391551078","2.134550928"
"04-068","Jardins Ferran Soldevila","PL VALDIVIA","20-18","427442.973488601","4582265.735591616","41.388650464","2.132155113"
"04-070","Jardins Can Cullàs","JARD CAN CUIAS","20","427716.140926771","4581872.752910620","41.385135618","2.135468964"
"04-072","dins del Parc de Pedralbes","PARC PEDRALBES","28-32","426160.120912775","4582188.295234036","41.387836253","2.116822258"
"04-073","Parc de Pedralbes","AV DIAGONAL","686","426306.600123559","4582054.393913579","41.386643695","2.118590344"
"04-074","Felipe Paz","JARD JOSEP GODAY I CASALS","61","426917.594042391","4581128.497839806","41.378360271","2.126008985"
"04-076","Jardins Creu de Pedralbes","AV ESPLUGUES","117","425819.246232975","4582958.799011081","41.394744465","2.112651254"
"04-078","Jardins Josep Munté","JARD JOSEP MUNTÉ","32","426140.252992706","4581148.703783677","41.378471280","2.116711371"
"04-079","Jardins Joaquim Ruyra","JARD JOAQUIM RUYRA","147","428012.275218384","4582377.531431418","41.389708517","2.138950428"
"04-081","Emérita Augusta","C FELIPE DE PAZ","17-19","426870.434513124","4581200.138308955","41.379001222","2.125436424"
"04-083","Av. Diagonal","PG DON QUIXOT","695","425223.406297164","4581771.701720539","41.383997658","2.105671201"
"04-084","Jardins dels Doctors Dolsa","JARD DOCTORS DOLSA","1-3","427199.876564638","4581403.316116137","41.380861038","2.129351409"
"04-085","Jardins Clot d'En Salvi (biblioteca)","JARD CLOT D'EN SALVI","30","426582.083006846","4581060.420286666","41.377716582","2.122005313"
"04-086","Av Sarrià / Loreto","PL DOCTOR IGNASI BARRAQUER","379","428229.826301309","4582475.809926605","41.390613114","2.141540644"
"04-087","parc","C ENTENÇA","234-218","428257.042726536","4581999.688990646","41.386327303","2.141922540"
"04-088","Jardins de Can Bruixa","JARD CAN BRUIXA","6","427298.539012947","4581705.735830829","41.383593732","2.130494943"
"04-089","Jardins Emilia Miret i Soler","C ROBERT GERHARD","4","426988.684511286","4582493.039396740","41.390656587","2.126694629"
"04-090","prop Mirador dels Xiprers","CTRA AIGÜES","SN","424765.540636939","4582437.496231055","41.389951461","2.100113086"
"04-091","","C TORRENT DE LES ROSES","43","425034.449509966","4582233.843870763","41.388142369","2.103354357"
"04-092","Jardins Ernest Lluch","JARD ERNEST LLUCH","36","425875.232323227","4581114.575746933","41.378139534","2.113546526"
"04-093","Jardins Gaietà Renom","JARD GAIETÀ RENOM","39","428016.144045375","4582222.321164333","41.388310945","2.139015143"
"04-094","Jardins Sant Joan de Déu","JARD SANT JOAN DE DEU","69-99","427723.554149949","4582295.653502697","41.388945183","2.135507164"
"04-095","","C DOCTOR FERRAN","20-18","426843.803964165","4582450.560434102","41.390260832","2.124967003"
"04-096","Miret","C ABADESSA OLZET","16","425755.394098682","4582690.759085973","41.392324461","2.111920404"
"04-097","-","RIER BLANCA","21","426577.361440599","4580854.950005321","41.375865565","2.121973744"
"04-098","","CAMI TORRE MELINA","5.I","425720.280634465","4580923.596630391","41.376405180","2.111717087"
"04-099","","AV ALBERT BASTARDAS","19-25","425331.202404744","4581236.530074028","41.379187623","2.107026237"
"04-100","","AV ALBERT BASTARDAS","19-25","425312.832134964","4581204.720164612","41.378899420","2.106810490"
"04-101","","PL CENTRE","7-9","427736.438400187","4581535.872238806","41.382103289","2.135751877"
"04-102","","JARD ÀUREA CUADRADO","8","425531.020585973","4580955.878119966","41.376678433","2.109450094"
"04-103","Jardins de Ceràmiques Vicenç","C BENAVENT","45","426773.674320962","4581194.539036297","41.378941992","2.124280066"
"04-104","","C TORRENT DE LES ROSES","2","425223.890774813","4582361.702625725","41.389311565","2.105604172"
"04-105","Plaça de Caba - Marquès de Sentmenat","PL CABA","96","428252.922133275","4581922.418903556","41.385630993","2.141882411"
"04-106","Davant Tanatori de les Corts","Av. Alfons XIII","","426637.208538698","4581778.100973201","41.384185460","2.122577594"
"04-107","","Pl. del Coll de Finestrelles","","425097.880475129","4582348.033563773","41.389176730","2.104098832"
"04-108","Jardins de Clara Campoamor","Av. Diagonal","609","427190.142803195","4582227.017455923","41.388278900","2.129136027"
"04-109","Parc Colònia Castells","Equador","","428048.103061539","4582086.290712794","41.387088630","2.139413513"
"05-001","Avenir","C AVENIR","66-68","428492.340017319","4582911.448594680","41.394560126","2.144628859"
"05-003","Amigó","C MADRAZO","112-106","428412.331495752","4583122.259525034","41.396451700","2.143646981"
"05-004","Santaló","C CALAF","21-23","428414.561865692","4583170.479581567","41.396886198","2.143667958"
"05-005","Rector Ubach","C RECTOR UBACH","23","428433.273068660","4583324.939674527","41.398279025","2.143873508"
"05-006","Tavern","C MARC AURELI","4","428388.024392129","4583508.260298031","41.399926093","2.143310590"
"05-008","Modolell","C PRATS DE MOLLO","8","427885.874803470","4583664.694358245","41.401290150","2.137285424"
"05-010","Aribau","C MADRAZO","99-101","428678.013603753","4583345.527843330","41.398486200","2.146798512"
"05-012","Pça. Sant Vicens de Sarrià","PL MAÑE I FLAQUER","2","428797.048143113","4583918.347808225","41.403655916","2.148154959"
"05-014","Maspons","PL SANT JOAQUIM","8","428656.048948554","4584052.969085854","41.404855897","2.146452410"
"05-015","Rios Rosas","C PADUA","96","428430.548005681","4583974.900683879","41.404132722","2.143764073"
"05-016","Rda del General Mitre","C SANT GERVASI DE CASSOLES","10","428054.047673868","4584007.993600247","41.404397171","2.139256286"
"05-017","Muntaner","TVRA DE GRÀCIA","41","428768.230921484","4582974.306591259","41.395150749","2.147921308"
"05-018","Pça. Joan Llongueras","PL JOAN LLONGUERAS","2","428196.838029319","4582709.960535536","41.392719073","2.141118348"
"05-019","Jardins Doctor Castelló","JARD DOCTOR CASTELLO","49-51","427740.056845028","4582647.093915116","41.392111948","2.135662603"
"05-020","Turó del Putget","JARD TURO DEL PUTXET","36.U","428476.212147166","4584510.191148296","41.408957930","2.144247066"
"05-021","Turó del Putget","JARD TURO DEL PUTXET","34-32","428416.552226567","4584532.791636776","41.409156173","2.143530663"
"05-022","Turó del Putget","JARD TURO DEL PUTXET","23-27","428374.111889855","4584497.171905928","41.408831580","2.143027151"
"05-023","Turó del Putget","JARD TURO DEL PUTXET","81","428372.442657950","4584598.502072174","41.409744070","2.142995187"
"05-024","Turó del Putget","JARD TURO DEL PUTXET","23-27","428342.791987242","4584516.362173472","41.409001627","2.142650189"
"05-025","Turó del Putget","JARD TURO DEL PUTXET","23-27","428295.982325503","4584570.382611740","41.409483992","2.142083790"
"05-026","Alcoi","C LLUÇANES","36-32","427397.459914603","4584436.739250612","41.408199668","2.131350462"
"05-027","Quatre Camins","C BELLESGUARD","2","427141.709476104","4584431.331189859","41.408127820","2.128291538"
"05-028","Calatrava","C CALATRAVA","44-42","427074.984331076","4583768.050688572","41.402147895","2.127573214"
"05-029","Calatrava","C CALATRAVA","19-21","427308.752381772","4583463.788445104","41.399428706","2.130406085"
"05-030","Rosari","C ROSARI","23-25","427268.399939548","4583150.598274169","41.396604286","2.129961029"
"05-031","Pça. Ferran Casablancas","PL FERRAN CASABLANCAS","1","427556.354397259","4583678.466887563","41.401384570","2.133342094"
"05-034","Pça. Del Xiprer","PL XIPRER","40","426822.760624437","4583331.751942934","41.398195429","2.124608849"
"05-035","Santa Magdalena Sofia","C MAJOR DE SARRIA","172","426439.352969512","4583718.825452762","41.401646641","2.119975778"
"05-036","","PL ARTOS","4","426937.448472617","4583025.060601205","41.395443622","2.126017669"
"05-037","Manuel Girona","C CAPITA ARENAS","31-33","426899.225174590","4582598.640239342","41.391599563","2.125611960"
"05-038","Manuel Girona","C MARQUES DE MULHACEN","2","426502.393497760","4582458.853044895","41.390304396","2.120882792"
"05-039","Riu de l'Or","C MANUEL DE FALLA","2.A","426741.446064472","4582748.031668950","41.392930711","2.123706841"
"05-040","Pça. Martí Llauradó","PL MARTI LLAURADO","1","427345.838451951","4582938.987361421","41.394705396","2.130912661"
"05-041","Buigas","C NENA CASAS","10-2","427471.808196172","4582879.626312002","41.394182126","2.132426451"
"05-042","Àngel Guimerà","C ANGEL GUIMERA","7-9","427534.169558269","4583046.196091956","41.395687973","2.133152396"
"05-043","Apel·les Mestres","C COLLSEROLA","31-53","427652.858255896","4585482.558910401","41.417641934","2.134280770"
"05-044","Desert","PG SANTA EULALIA","23.B","425976.934215861","4583977.559368501","41.403934495","2.114412741"
"05-045","","CTRA AIGÜES","SN","426353.922838558","4585034.898106229","41.413492071","2.118793717"
"05-046","","CTRA AIGÜES","SN","426590.916130245","4585419.996897924","41.416982156","2.121582391"
"05-047","davant 23 del C. Alberes","PL PEP VENTURA","25","425236.721979031","4585151.126793676","41.414435731","2.105413128"
"05-048","prop camp de futbol","C REIS CATOLICS","36","424949.222748825","4585311.669230757","41.415854855","2.101953518"
"05-049","","C PELFORT","8","424880.160301689","4585003.709286041","41.413074768","2.101165464"
"05-050","","CAMI FREDOLIC","22.I","424546.394104802","4585573.952717389","41.418179380","2.097101186"
"05-051","","CAMI MAS SAURO","55","424471.133405203","4585497.103168486","41.417480167","2.096210299"
"05-052","","CTRA AIGÜES","SN","427013.776540687","4585387.243624971","41.416725681","2.126645751"
"05-055","","C MAJOR DEL RECTORET","80","424512.510757578","4586459.364381541","41.426150618","2.096585255"
"05-057","","C BALADRE","30-28","424168.392334698","4586738.547444507","41.428632652","2.092432412"
"05-058","","C BALADRE","37","424294.953328009","4586843.526646729","41.429590079","2.093933790"
"05-059","Camí Mas Castellví","C CAN CASTELLVI","1","423928.959072525","4586357.408664734","41.425177313","2.089615129"
"05-060","Pça. Cardona (centre plaça)","PL CARDONA","56","428797.043433250","4583298.886866499","41.398076671","2.148227761"
"05-061","Pomaret","PG BONANOVA","84-82","426854.993841717","4583748.612333760","41.401952839","2.124944036"
"05-063","Ptge Santa Amelia","C CARROÇ","2","425578.997937831","4584549.033270217","41.409044743","2.109582243"
"05-064","Plta Can Garriga","PLTA CAN GARRIGA","26-24","426794.060959507","4583381.722237729","41.398642877","2.124259523"
"05-067","Beltran / Balmes","PL FIGUEROLA","2","428093.358709829","4584136.233495804","41.405555692","2.139711308"
"05-068","","PL CAMP","1","427802.666536890","4583909.705364498","41.403489394","2.136260875"
"05-069","Jardins Doctor Roig i Raventós","JARD DOCTOR ROIG I RAVENTOS","75","427319.216006259","4583938.579088932","41.403705887","2.130474242"
"05-070","Pomaret","C MARGENAT","85.B","426893.736160189","4584045.782491593","41.404632842","2.125371580"
"05-071","Anglí","C MARGENAT","47-49","426677.054603535","4583885.253896817","41.403167300","2.122798983"
"05-072","Major de Sarrià / Salvador Mundi","PL CONSELL DE LA VILA","6","426568.110985353","4583431.314033517","41.399068925","2.121550842"
"05-073","Dalmacia / Sagrat Cor","C DALMACIA","1-3","426439.571512347","4583526.975158192","41.399918753","2.120001704"
"05-074","Pedró","C JORDA","25","426513.548979167","4583178.364062208","41.396785733","2.120928903"
"05-075","Rocaberti","C ROCABERTI","9","426860.199583977","4583187.141436982","41.396896391","2.125074135"
"05-076","","PL MANUEL CORACHAN","4","427244.707567866","4582843.237984642","41.393833879","2.129714573"
"05-077","Jardins Vil·la Amèlia (davant llac)","JARD VIL·LA AMELIA","15.I","426635.675780033","4582732.182449645","41.392778323","2.122443716"
"05-078","","PL VALLVIDRERA","1","425139.010499252","4584976.487272536","41.412853746","2.104265699"
"05-090","Balmes / Via Augusta","PL MOLINA","2","428707.075624868","4583605.468017641","41.400829957","2.147115525"
"05-091","Mont-Roig","PL TORRE","3","428915.349380066","4584056.927118050","41.404914515","2.149553845"
"05-092","Princep d'Astúries","C MONT-ROIG","246-244","428868.780251051","4584180.927660604","41.406027220","2.148982185"
"05-093","Santaló","PL ADRIA","5","428033.444942522","4583652.903217018","41.401197174","2.139052043"
"05-095","Parc de Monterols","PARC MONTEROLS","5-7","428224.495846244","4583732.851884439","41.401934317","2.141327891"
"05-096","Pça Boston","PL BOSTON","10-8","428154.866805361","4583873.202627883","41.403192180","2.140478330"
"05-097","C/ Mañé i Flaquer","PL SANT VICENÇ DE SARRIA","3","426785.309840511","4583236.212082025","41.397331534","2.124172443"
"05-098","Sant Joan Bosco / Benet Mateu","PL ARTOS","2","426881.468698812","4583066.271090302","41.395809699","2.125343131"
"05-100","","PL BONANOVA","7-8","427583.438674284","4584235.607528997","41.406404938","2.133599418"
"05-103","Saragossa","C PUTGET","29","428398.459449767","4584171.351226419","41.405899215","2.143356976"
"05-104","Major de Sarrià","C HORT DE LA VILA","10-4","426655.060870468","4583398.413321346","41.398780539","2.122594872"
"05-105","Pça John F Kennedy","PL JOHN F. KENNEDY","466","427881.361918179","4584601.415815808","41.409726401","2.137119826"
"05-106","Major de Sarrià","C NOU DE SANTA EULALIA","2","426311.633854112","4583861.396642732","41.402919019","2.118430661"
