"CODI","NOM","CARRER","NUMERO_CARRER","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
"01-134","Sant Pau","RBLA RAVAL","43","430613.009232850","4581061.619647140","41.378085067","2.170205472"
"01-135","Hospital","RBLA RAVAL","4.B-2","430461.390100659","4581206.771018563","41.379379312","2.168375798"
"01-136","","C AGUSTI DURAN I SANPERE","58-50","430453.411730164","4581422.871410062","41.381324972","2.168255593"
"01-137","dins del parc Zoologic","C WELLINGTON","40-18","432269.950299528","4582180.988811000","41.388308103","2.189893678"
"01-138","dins del parc Zoologic","C WELLINGTON","20.I","432180.700782960","4582262.719611922","41.389036710","2.188817133"
"01-139","dins del parc Zoologic","C WELLINGTON","1.B","432129.241624941","4582383.950187001","41.390124259","2.188188109"
"01-141","","PG MARITIM DE LA BARCELONETA","9","432501.323479680","4581236.385609519","41.379819756","2.192766055"
"01-142","Andrea Doria","PG MARITIM DE LA BARCELONETA","11-13","432559.504492500","4581357.905355628","41.380919132","2.193448267"
"01-143","Próxim a Iglesia Castrense","PAS INSTITUT ESCOLA","18.I","432087.609033179","4582051.379993450","41.387125378","2.187727468"
"01-144","C. Fonollar","C FONOLLAR","2","431443.027685131","4582005.004804300","41.386653013","2.180023894"
"01-145","","C COLOMINES","4","431350.576726039","4581897.605340227","41.385677813","2.178930413"
"01-147","","C WELLINGTON","1","432349.569640832","4582078.148050606","41.387388544","2.190857383"
"01-148","","PARC CIUTADELLA","20.I","432109.480432287","4582231.040102784","41.388745373","2.187968903"
"01-149","Pou de la Figuera","C JAUME GIRALT","34-32","431399.318276552","4582091.715267967","41.387430262","2.179491340"
"01-150","Pg Marítim de la Barceloneta / C. Gas","PG MARITIM DE LA BARCELONETA","15-21","432611.175852744","4581526.475223251","41.382441728","2.194047424"
"01-151","Darrera Gran Cascada","PARC CIUTADELLA","50","432043.721383439","4582369.540812565","41.389987257","2.187166904"
"01-152","","C TAPINERIA","1","431134.135652093","4581800.326830834","41.384783155","2.176353020"
"01-153","Entrada Parc de la Ciutadella (Zoo)","JARD FONTSERE I MESTRE","46","431922.947713200","4581911.131025743","41.385848276","2.185773971"
"01-154","","PL CASTELLA","8","430167.224270964","4581815.494180555","41.384836411","2.164788025"
"01-156","","C BALUARD","32-30","432169.003448697","4581299.828224318","41.380363220","2.188785035"
"01-157","Pl. Pijoan","C JOSEP PIJOAN","5","431189.390857425","4581158.015427848","41.379002772","2.177086753"
"01-158","Pl. Vicenç Martorell","C RAMELLERES","17-17.B","430510.924247355","4581742.411463283","41.384207939","2.168906701"
"01-159","Andrea Doria cantonada Miquel Boera","C ANDREA DORIA","32","432449.534146008","4581334.626152821","41.380700237","2.192135802"
"01-160","","C DOCTOR AIGUADER","1-21","432054.755757589","4581626.969591890","41.383300055","2.187382157"
"01-161","","PL LLAGUT","25.L","432256.804379884","4581404.567720129","41.381313978","2.189823268"
"01-162","","PL CARAMELLES","7","430395.482463471","4581531.192014774","41.382295573","2.167550414"
